,ANOMES,E125SN4,V125SN4,E125SN8,V125SN8,E200SN4,V200SN4,E200SN8,V200SN8,E250SN4,V250SN4,E250SN8,V250SN8,E315SN4,V315SN4,E315SN8,V315SN8,E400SN4,V400SN4,E400SN8,V400SN4,E400SN8,V400SN8,E500SN4,V500SN8,E630SN4,V630SN4,E630SN8,V630SN8,E800SN4,V800SN4,E800SN8,V800SN8
0,2005-01,0.0,0.0,22776.0,10350.0,76752.0,99120.0,181680.0,313980.0,17616.0,14070,122160.0,53220.0,37440.0,60630.0,140168.0,233970.0,9408.0,24480.0,49624.0,24480.0,49624.0,75120.0,2520.0,11370.0,2952.0,2760.0,4512.0,6300.0,0.0,0.0,0.0,0.0
1,2005-02,0.0,0.0,29928.0,17670.0,76368.0,138690.0,425508.0,266942.4,4824.0,6540,76512.0,59490.0,38768.0,62610.0,125112.0,229350.0,8496.0,11520.0,40440.0,11520.0,40440.0,60180.0,888.0,8970.0,6456.0,5880.0,5352.0,11280.0,0.0,0.0,984.0,1170.0
2,2005-03,0.0,0.0,34080.0,36570.0,96216.0,96090.0,308184.0,459510.0,24144.0,21510,36648.0,165060.0,23760.0,54240.0,199752.0,138600.0,27576.0,25890.0,40944.0,25890.0,40944.0,30240.0,1440.0,23430.0,408.0,810.0,18000.0,5610.0,0.0,0.0,528.0,150.0
3,2005-04,0.0,0.0,36760.0,21030.0,138552.0,138750.0,303122.4,365662.39999999997,46776.0,28080,47568.0,84510.0,53832.0,55710.0,549792.0,148440.0,11976.0,6300.0,113472.0,6300.0,113472.0,51390.0,8136.0,11520.0,600.0,720.0,45840.0,10500.0,0.0,0.0,480.0,30.0
4,2005-05,0.0,0.0,63240.0,49590.0,61128.0,110670.0,770534.3999999999,516540.80000000005,7584.0,19680,137808.0,103440.0,26256.0,47460.0,110064.0,207450.0,6984.0,21900.0,75528.0,21900.0,75528.0,68100.0,2544.0,18630.0,4320.0,4920.0,24336.0,24540.0,2400.0,2160.0,864.0,1440.0
5,2005-06,0.0,0.0,37824.0,42390.0,113744.0,107940.0,583104.0,526590.0,31848.0,14640,57720.0,96540.0,71352.0,43170.0,109896.0,201300.0,26280.0,12330.0,31960.0,12330.0,31960.0,54750.0,9216.0,10890.0,4488.0,3780.0,9240.0,11790.0,96.0,960.0,432.0,0.0
6,2005-07,0.0,0.0,52512.0,48420.0,105912.0,109530.0,883876.0,469200.0,66768.0,39660,67464.0,71520.0,45456.0,43050.0,216264.0,170490.0,24912.0,23220.0,73520.0,23220.0,73520.0,49410.0,11616.0,10650.0,984.0,1170.0,9216.0,8010.0,0.0,0.0,1008.0,1260.0
7,2005-08,0.0,0.0,75648.0,59700.0,103608.0,109290.0,826272.0,413820.0,15624.0,39780,117168.0,68610.0,46632.0,61800.0,260952.0,191340.0,9096.0,13530.0,92544.0,13530.0,92544.0,49770.0,2232.0,7830.0,2736.0,3390.0,34272.0,19020.0,1872.0,2340.0,14352.0,2220.0
8,2005-09,0.0,0.0,48528.0,49650.0,131760.0,114600.0,454296.0,734610.0,15192.0,36870,155160.0,128250.0,61728.0,89250.0,176760.0,176310.0,25560.0,19680.0,50400.0,19680.0,50400.0,65850.0,12480.0,20910.0,6312.0,2850.0,14088.0,17430.0,96.0,120.0,10992.0,3060.0
9,2005-10,0.0,0.0,25392.0,59610.0,80112.0,132540.0,350074.39999999997,568252.3999999999,8232.0,20700,48960.0,130500.0,18744.0,48390.0,224512.0,265350.0,14976.0,21120.0,61747.200000000004,21120.0,61747.200000000004,82958.20000000001,5040.0,26580.0,288.0,5490.0,19856.0,17130.0,816.0,1020.0,2904.0,6060.0
10,2005-11,0.0,0.0,57072.0,48900.0,131280.0,122790.0,302688.0,557910.0,22800.0,29520,61512.0,63180.0,48160.0,53310.0,227080.0,210120.0,27536.0,18930.0,39072.0,18930.0,39072.0,66390.0,13320.0,26700.0,1296.0,90.0,17088.0,25170.0,0.0,-60.0,5760.0,7500.0
11,2005-12,0.0,0.0,21480.0,33480.0,55128.0,54120.0,199128.0,368580.0,19080.0,6870,57960.0,70680.0,18768.0,23790.0,105088.0,75600.0,11056.0,12900.0,43848.0,12900.0,43848.0,31170.0,1272.0,16050.0,480.0,660.0,16632.0,12930.0,0.0,0.0,6000.0,4140.0
12,2006-01,0.0,0.0,58032.0,53100.0,95328.0,94800.0,426264.0,458250.0,19800.0,19260,51360.0,73920.0,42336.0,34620.0,127200.0,147120.0,29904.0,22050.0,64464.0,22050.0,64464.0,52950.0,6936.0,27360.0,1656.0,1110.0,18192.0,12120.0,2856.0,1560.0,19824.0,14220.0
13,2006-02,0.0,0.0,60216.0,66420.0,57000.0,60780.0,650040.0,569670.0,22512.0,26550,66792.0,78180.0,47712.0,49680.0,136776.0,157950.0,17760.0,19380.0,36192.0,19380.0,36192.0,44580.0,4392.0,32550.0,4248.0,2580.0,6480.0,14820.0,0.0,0.0,5472.0,9450.0
14,2006-03,0.0,0.0,70992.0,48870.0,87744.0,72810.0,657808.0,351810.0,36936.0,36480,56400.0,54630.0,82056.0,67650.0,135744.0,146670.0,44040.0,29250.0,96600.0,29250.0,96600.0,80820.0,13848.0,15990.0,5664.0,8460.0,13032.0,12840.0,72.0,0.0,22920.0,8160.0
15,2006-04,0.0,0.0,51696.0,47490.0,73536.0,68880.0,233232.0,279480.0,20872.0,37110,47904.0,48210.0,30720.0,44940.0,199416.0,125310.0,28320.0,22950.0,64224.0,22950.0,64224.0,36000.0,3672.0,14700.0,2136.0,2310.0,21888.0,10290.0,1608.0,90.0,4344.0,5190.0
16,2006-05,0.0,0.0,96384.0,60480.0,73680.0,76590.0,481056.0,393930.0,102816.0,57600,76128.0,97620.0,66824.0,71550.0,197112.0,162480.0,32040.0,38520.0,53712.0,38520.0,53712.0,48120.0,5472.0,17220.0,2952.0,2100.0,39712.0,12390.0,744.0,90.0,15424.0,15300.0
17,2006-06,0.0,0.0,126504.0,86340.0,84840.0,92280.0,545664.0,402330.0,17664.0,52890,67848.0,58140.0,45144.0,44340.0,150328.0,141480.0,39696.0,22980.0,54968.0,22980.0,54968.0,58110.0,3840.0,27510.0,12600.0,870.0,13464.0,13200.0,5040.0,150.0,9288.0,9810.0
18,2006-07,0.0,0.0,31920.0,47910.0,64528.0,61170.0,371104.0,419940.0,19824.0,30600,86080.0,75330.0,74616.0,46470.0,259968.0,199320.0,13944.0,24180.0,147192.0,24180.0,147192.0,117600.0,1944.0,19800.0,1464.0,4800.0,23928.0,18870.0,3648.0,3810.0,8616.0,11280.0
19,2006-08,0.0,0.0,27168.0,36600.0,23880.0,97650.0,234944.0,323280.0,18936.0,17340,39840.0,52380.0,35048.0,33780.0,118248.0,197130.0,5416.0,27150.0,49440.0,27150.0,49440.0,70890.0,1488.0,15930.0,912.0,840.0,8256.0,16500.0,24.0,30.0,4344.0,4230.0
20,2006-09,0.0,0.0,48288.0,51660.0,72312.0,62910.0,360360.0,475020.0,20064.0,18210,58320.0,59010.0,76976.0,90930.0,172688.0,202350.0,6528.0,11460.0,109200.0,11460.0,109200.0,98520.0,3072.0,35220.0,14136.0,4830.0,11784.0,18690.0,1824.0,4380.0,4272.0,6240.0
21,2006-10,0.0,0.0,59088.0,45000.0,52320.0,52230.0,286360.0,424800.0,19912.0,23880,91200.0,67740.0,79232.0,78150.0,174624.0,147420.0,21688.0,11550.0,71296.0,11550.0,71296.0,91050.0,3184.0,27930.0,5448.0,4050.0,21960.0,16560.0,912.0,660.0,11424.0,7020.0
22,2006-11,0.0,0.0,27000.0,47700.0,47016.0,65070.0,264888.0,320640.0,21000.0,21330,81072.0,73530.0,43848.0,56250.0,198496.0,179280.0,24072.0,18180.0,84576.0,18180.0,84576.0,59760.0,2616.0,15930.0,2712.0,2730.0,37056.0,36180.0,480.0,600.0,10896.0,9630.0
23,2006-12,0.0,0.0,22872.0,25980.0,55944.0,49080.0,159840.0,228930.0,19344.0,13980,29784.0,41400.0,40152.0,37470.0,159576.0,87390.0,26592.0,18480.0,45672.0,18480.0,45672.0,38370.0,2088.0,9540.0,2256.0,2610.0,15096.0,16620.0,312.0,390.0,408.0,1500.0
24,2007-01,0.0,0.0,128376.0,70860.0,52488.0,66780.0,704184.0,366630.0,19040.0,25230,111480.0,56190.0,60589.600000000006,77100.0,213216.0,212220.0,31320.0,37650.0,89784.0,37650.0,89784.0,61920.0,7032.0,15090.0,10104.0,5190.0,20808.0,18930.0,672.0,840.0,8928.0,1410.0
25,2007-02,0.0,0.0,27432.0,39150.0,67488.0,56280.0,162344.0,326730.0,36960.0,17770,50280.0,57840.0,106848.0,50086.600000000006,97008.0,139650.0,28104.0,24720.0,44616.0,24720.0,44616.0,67650.0,25632.0,12300.0,8040.0,9450.0,5424.0,10320.0,528.0,660.0,960.0,2640.0
26,2007-03,0.0,0.0,62256.0,71310.0,57000.0,66000.0,250560.0,365250.0,20976.0,28410,60024.0,53460.0,55656.0,71100.0,172344.0,234720.0,18984.0,18000.0,48432.0,18000.0,48432.0,50400.0,7656.0,15270.0,3384.0,7320.0,12624.0,12540.0,1512.0,1710.0,5592.0,2970.0
27,2007-04,14616.0,7170.0,68280.0,57390.0,36312.0,56580.0,519672.0,297120.0,15696.0,37650,123600.0,69780.0,69048.0,61650.0,226464.0,168600.0,14472.0,21720.0,86376.0,21720.0,86376.0,42030.0,2400.0,22470.0,3264.0,570.0,12336.0,7560.0,936.0,180.0,5064.0,4500.0
28,2007-05,5328.0,7560.0,37224.0,54240.0,90648.0,87870.0,343560.0,307170.0,20208.0,17100,41856.0,57960.0,150288.0,125610.0,205032.0,163920.0,22464.0,16080.0,107232.0,16080.0,107232.0,76560.0,2600.0,16500.0,2376.0,3930.0,35016.0,15360.0,768.0,2130.0,5568.0,3690.0
29,2007-06,2928.0,3660.0,21648.0,35910.0,66384.0,61260.0,206784.0,334890.0,47040.0,36180,45456.0,56580.0,78072.0,123210.0,135552.0,188760.0,16992.0,16440.0,55632.0,16440.0,55632.0,69120.0,6240.0,22950.0,3456.0,6090.0,15048.0,18120.0,1584.0,1980.0,7848.0,7050.0
30,2007-07,7680.0,5430.0,32736.0,44250.0,105048.0,98580.0,223608.0,305910.0,24504.0,24540,92784.0,68370.0,79824.0,93810.0,149520.0,165180.0,41136.0,23580.0,80040.0,23580.0,80040.0,69540.0,9816.0,36060.0,5760.0,2550.0,15888.0,25380.0,5304.0,3600.0,8784.0,11520.0
31,2007-08,10128.0,19260.0,39280.0,51480.0,102984.0,79260.0,163400.0,219930.0,25416.0,32760,30528.0,50010.0,73056.0,68940.0,79104.0,119790.0,12072.0,17370.0,15816.0,17370.0,15816.0,44820.0,3984.0,17550.0,1608.0,1620.0,4104.0,10590.0,192.0,240.0,3000.0,4620.0
32,2007-09,10680.0,9510.0,21024.0,31920.0,66552.0,82410.0,221928.0,248970.0,27216.0,12330,81688.0,95460.0,93185.52,105180.0,142528.0,170910.0,17448.0,17460.0,137384.0,17460.0,137384.0,125340.0,7176.0,21510.0,6480.0,7680.0,7342.0,14100.0,648.0,540.0,2352.0,5070.0
33,2007-10,22032.0,15000.0,48720.0,54450.0,105240.0,132810.0,406488.0,429720.0,27288.0,46650,111792.0,100230.0,102880.0,98670.0,243384.0,240690.0,24048.0,26670.0,108984.0,26670.0,108984.0,84540.0,10848.0,21900.0,5688.0,4980.0,46248.0,20790.0,4056.0,2970.0,29064.0,10020.0
34,2007-11,16200.0,25710.0,50664.0,39990.0,37824.0,76440.0,328848.0,354690.0,35256.0,33390,62760.0,88890.0,56784.0,106680.0,265264.0,225390.0,31944.0,36990.0,112104.0,36990.0,112104.0,94110.0,6696.0,40170.0,6624.0,5160.0,14976.0,25080.0,48.0,60.0,5568.0,8040.0
35,2007-12,6072.0,9690.0,22344.0,27480.0,103704.0,44760.0,84240.0,308580.0,19296.0,12240,59688.0,30990.0,32184.0,40140.0,82296.0,121950.0,22968.0,17130.0,59592.0,17130.0,59592.0,63120.0,4968.0,11940.0,4680.0,2790.0,8832.0,11040.0,1776.0,150.0,4488.0,3660.0
36,2008-01,17160.0,18870.0,42408.0,52860.0,71232.0,112260.0,228352.0,233970.0,24144.0,32340,66000.0,84510.0,41856.0,54720.0,149544.0,151200.0,18816.0,23850.0,113712.0,23850.0,113712.0,79140.0,1752.0,21780.0,2760.0,6870.0,35040.0,18090.0,1104.0,1830.0,6720.0,2970.0
37,2008-02,70920.0,48300.0,104112.0,53730.0,139320.0,134790.0,696400.0,222300.0,36384.0,29460,240696.0,43110.0,39960.0,51570.0,168816.0,128280.0,24936.0,15210.0,74688.0,15210.0,74688.0,63210.0,3720.0,20460.0,3504.0,3810.0,17640.0,16560.0,552.0,1110.0,2688.0,1830.0
38,2008-03,10872.0,39120.0,55488.0,47370.0,93864.0,98820.0,391728.0,242370.0,34800.0,39750,86520.0,51240.0,52704.0,58320.0,134352.0,122640.0,33840.0,24510.0,44328.0,24510.0,44328.0,61890.0,2928.0,22380.0,9528.0,3900.0,14832.0,17490.0,1248.0,1560.0,3312.0,4140.0
39,2008-04,22104.0,35490.0,27840.0,34920.0,121392.0,143280.0,330964.0,264630.0,103872.0,37050,71460.0,99630.0,78960.0,62940.0,170769.8,167460.0,22920.0,36870.0,59992.0,36870.0,59992.0,77130.0,6696.0,21360.0,6240.0,11640.0,16224.0,14490.0,216.0,390.0,9464.0,8820.0
40,2008-05,15720.0,10200.0,19488.0,25050.0,53088.0,47490.0,358944.0,276240.0,71544.0,68850,48576.0,67170.0,62376.0,72600.0,63288.0,94020.0,24216.0,21900.0,42528.0,21900.0,42528.0,57480.0,4368.0,17070.0,7176.0,5940.0,3024.0,7500.0,408.0,390.0,2208.0,3330.0
