ANOMES,E125SN4,V125SN4,E125SN8,V125SN8,E200SN4,V200SN4,E200SN8,V200SN8,E250SN4,V250SN4,E250SN8,V250SN8,E315SN4,V315SN4,E315SN8,V315SN8,E400SN4,V400SN4,E400SN8,V400SN4,E400SN8,V400SN8,E500SN4,V500SN8,E630SN4,V630SN4,E630SN8,V630SN8,E800SN4,V800SN4,E800SN8,V800SN8
2005-01,0,0,22776,10350,76752,99120,181680,313980,17616,14070,122160,53220,37440,60630,140168,233970,9408,24480,49624,24480,49624,75120,2520,11370,2952,2760,4512,6300,0,0,0,0
2005-02,0,0,29928,17670,76368,138690,425508,266942,4824,6540,76512,59490,38768,62610,125112,229350,8496,11520,40440,11520,40440,60180,888,8970,6456,5880,5352,11280,0,0,984,1170
2005-03,0,0,34080,36570,96216,96090,308184,459510,24144,21510,36648,165060,23760,54240,199752,138600,27576,25890,40944,25890,40944,30240,1440,23430,408,810,18000,5610,0,0,528,150
2005-04,0,0,36760,21030,138552,138750,303122,365662,46776,28080,47568,84510,53832,55710,549792,148440,11976,6300,113472,6300,113472,51390,8136,11520,600,720,45840,10500,0,0,480,30
2005-05,0,0,63240,49590,61128,110670,770534,516540,7584,19680,137808,103440,26256,47460,110064,207450,6984,21900,75528,21900,75528,68100,2544,18630,4320,4920,24336,24540,2400,2160,864,1440
2005-06,0,0,37824,42390,113744,107940,583104,526590,31848,14640,57720,96540,71352,43170,109896,201300,26280,12330,31960,12330,31960,54750,9216,10890,4488,3780,9240,11790,96,960,432,0
2005-07,0,0,52512,48420,105912,109530,883876,469200,66768,39660,67464,71520,45456,43050,216264,170490,24912,23220,73520,23220,73520,49410,11616,10650,984,1170,9216,8010,0,0,1008,1260
2005-08,0,0,75648,59700,103608,109290,826272,413820,15624,39780,117168,68610,46632,61800,260952,191340,9096,13530,92544,13530,92544,49770,2232,7830,2736,3390,34272,19020,1872,2340,14352,2220
2005-09,0,0,48528,49650,131760,114600,454296,734610,15192,36870,155160,128250,61728,89250,176760,176310,25560,19680,50400,19680,50400,65850,12480,20910,6312,2850,14088,17430,96,120,10992,3060
2005-10,0,0,25392,59610,80112,132540,350074,568252,8232,20700,48960,130500,18744,48390,224512,265350,14976,21120,61747,21120,61747,82958,5040,26580,288,5490,19856,17130,816,1020,2904,6060
2005-11,0,0,57072,48900,131280,122790,302688,557910,22800,29520,61512,63180,48160,53310,227080,210120,27536,18930,39072,18930,39072,66390,13320,26700,1296,90,17088,25170,0,-60,5760,7500
2005-12,0,0,21480,33480,55128,54120,199128,368580,19080,6870,57960,70680,18768,23790,105088,75600,11056,12900,43848,12900,43848,31170,1272,16050,480,660,16632,12930,0,0,6000,4140
2006-01,0,0,58032,53100,95328,94800,426264,458250,19800,19260,51360,73920,42336,34620,127200,147120,29904,22050,64464,22050,64464,52950,6936,27360,1656,1110,18192,12120,2856,1560,19824,14220
2006-02,0,0,60216,66420,57000,60780,650040,569670,22512,26550,66792,78180,47712,49680,136776,157950,17760,19380,36192,19380,36192,44580,4392,32550,4248,2580,6480,14820,0,0,5472,9450
2006-03,0,0,70992,48870,87744,72810,657808,351810,36936,36480,56400,54630,82056,67650,135744,146670,44040,29250,96600,29250,96600,80820,13848,15990,5664,8460,13032,12840,72,0,22920,8160
2006-04,0,0,51696,47490,73536,68880,233232,279480,20872,37110,47904,48210,30720,44940,199416,125310,28320,22950,64224,22950,64224,36000,3672,14700,2136,2310,21888,10290,1608,90,4344,5190
2006-05,0,0,96384,60480,73680,76590,481056,393930,102816,57600,76128,97620,66824,71550,197112,162480,32040,38520,53712,38520,53712,48120,5472,17220,2952,2100,39712,12390,744,90,15424,15300
2006-06,0,0,126504,86340,84840,92280,545664,402330,17664,52890,67848,58140,45144,44340,150328,141480,39696,22980,54968,22980,54968,58110,3840,27510,12600,870,13464,13200,5040,150,9288,9810
2006-07,0,0,31920,47910,64528,61170,371104,419940,19824,30600,86080,75330,74616,46470,259968,199320,13944,24180,147192,24180,147192,117600,1944,19800,1464,4800,23928,18870,3648,3810,8616,11280
2006-08,0,0,27168,36600,23880,97650,234944,323280,18936,17340,39840,52380,35048,33780,118248,197130,5416,27150,49440,27150,49440,70890,1488,15930,912,840,8256,16500,24,30,4344,4230
2006-09,0,0,48288,51660,72312,62910,360360,475020,20064,18210,58320,59010,76976,90930,172688,202350,6528,11460,109200,11460,109200,98520,3072,35220,14136,4830,11784,18690,1824,4380,4272,6240
2006-10,0,0,59088,45000,52320,52230,286360,424800,19912,23880,91200,67740,79232,78150,174624,147420,21688,11550,71296,11550,71296,91050,3184,27930,5448,4050,21960,16560,912,660,11424,7020
2006-11,0,0,27000,47700,47016,65070,264888,320640,21000,21330,81072,73530,43848,56250,198496,179280,24072,18180,84576,18180,84576,59760,2616,15930,2712,2730,37056,36180,480,600,10896,9630
2006-12,0,0,22872,25980,55944,49080,159840,228930,19344,13980,29784,41400,40152,37470,159576,87390,26592,18480,45672,18480,45672,38370,2088,9540,2256,2610,15096,16620,312,390,408,1500
