aaaammdd	v25C	v3K	3KRL 	v3KPD	v3K4	v3K4-1	v3KS24	3KSN8	vP100	vP80	vPEBD	vPPCE	vPPE	vPPH	vPPIBO	vPPR	vPVC	vPVC5C	vPVCC	vPVCR	PVCBR	vTotalTon	vTotalCCarga	vTotal3K	vTotalPressao	vTotalPVC	vTotalPP	vTotalPE
01/01/2010	459,442127	132,744593	0	18,19377	0	0	35,978886	0	129,069442	18,3999	0,2525	397,957302	1,004217	0	9,787134	1,01388	73,75368	222,021048	0	0,025956	0	1499,644435	459,442127	186,917249	295,800684	942,16006	408,748653	147,721842
01/02/2010	563,345464	169,410847	0	19,864719	0	0,30087	32,158902	0	154,24097	28,336	0,198	413,25075	0,243126	0	13,657956	4,75334	90,19199	253,92027	0	0	0	1743,873204	563,345464	221,735338	344,11226	1129,193062	427,151832	182,77497
01/03/2010	680,088784	172,071998	0	24,302634	0	0	42,74046	0	258,444346	42,894038	3,6537	419,116218	0,803793	0	17,62725	6,4172	125,687417	340,429176	0	4,300124	0	2138,577138	680,088784	239,115092	470,416717	1389,620593	437,547261	304,992084
01/04/2010	604,686057	153,502357	0	17,615817	0	5,61624	24,27384	0	219,753352	44,0122	0,5924	397,754526	0,2046972	0	13,507128	10,514576	113,932482	314,963226	0	1,927589	0	1922,856487	604,686057	201,008254	430,823297	1236,517608	411,4663512	264,357952
01/05/2010	695,443723	194,21646	0	27,971709	0	6,699372	60,616632	0	420,4357617	49,303278	3,097	476,424204	0,780177	0	25,46637	2,818716	122,929397	220,552842	0	3,708185	0	2310,463827	695,443723	289,504173	347,190424	1332,13832	502,670751	472,8360397
01/06/2010	499,795648	150,856552	0	16,17465	0	0	35,530692	0	208,709824	44,93985	1,8345	325,356498	0,360675	0	12,962226	5,053239	84,735834	140,325306	0	0	0	1526,635494	499,795648	202,561894	225,06114	927,418682	338,679399	255,484174
01/07/2010	503,3943896	150,934607	0	12,701288	0	0	24,972582	0	174,456446	36,0593	0,8378	391,313244	0,782448	0	12,739374	7,15064	81,107636	168,480234	0	0,5400034	0	1565,469992	503,3943896	188,608477	250,1278734	942,13074	404,835066	211,353546
01/08/2010	352,028266	93,980521	0	11,118261	0	0	18,27771	0	130,319476	32,1566	0,3304	241,67418	1,037565	0	9,124257	4,2019	64,78708	77,894148	0	0	0	1036,930364	352,028266	123,376492	142,681228	618,085986	251,836002	162,806476
01/09/2010	586,05814	162,756997	0	15,709044	0	12,63654	41,56269	0	155,5205708	42,02255	0,455	339,213006	0,398184	0	13,401327	5,42344	103,759562	162,4344012	0	0	0	1641,351452	586,05814	232,665271	266,1939632	1084,917374	353,012517	197,9981208
01/10/2010	584,29082	166,494106	0	13,7064975	0	20,94381	38,605512	0	154,1945881	33,0006	0,22	322,006488	1,614789	0	12,900372	2,845104	103,7553064	274,166802	0	3,708	0	1732,452795	584,29082	239,7499255	381,6301084	1205,670854	336,521649	187,4151881
