DATA,VD125,VD160,VD200,VD250,VD315,VD400,VD500,VD630,VD800
2005-01-09,0.0,346.8,4386.0,354.0,1465.2,544.8,194.4,43.2,0.0
2005-01-16,40.8,9.6,4678.8,344.4,3325.2,849.6,51.6,3.6,0.0
2005-01-23,0.0,1310.4,2677.2,286.8,3816.0,1687.2,262.8,146.4,0.0
2005-01-30,366.0,434.4,3332.4,1749.6,3028.8,758.4,118.8,169.2,0.0
2005-02-06,139.2,277.2,5863.2,86.4,2179.2,950.4,105.6,249.6,0.0
2005-02-13,154.5,1302.0,2592.0,2104.5,4164.0,693.0,283.5,148.5,0.0
2005-02-20,141.6,649.2,3918.8,98.4,3571.2,932.4,44.4,158.4,0.0
2005-02-27,139.2,249.6,4090.0,468.0,2564.4,662.4,6.0,151.2,46.8
2005-03-06,420.0,55.2,5047.2,1309.2,1465.2,254.4,165.6,61.2,0.0
2005-03-13,577.2,0.0,5011.2,1160.4,2248.8,350.4,427.2,127.2,0.0
2005-03-20,171.6,2132.4,2953.2,3093.6,925.2,1138.8,294.0,64.8,0.0
2005-03-27,213.0,300.0,6522.0,1749.0,3145.5,280.5,106.5,0.0,7.5
2005-04-03,526.5,178.5,8977.5,1345.5,1173.0,591.0,286.5,85.5,0.0
2005-04-10,164.4,12.0,5353.2,564.0,1978.8,511.2,178.8,190.8,0.0
2005-04-17,321.6,2077.2,3279.6,1306.8,2463.6,826.8,313.2,128.4,1.2
2005-04-24,22.8,1507.2,5615.4,1450.8,2155.2,325.2,16.8,76.8,0.0
2005-05-01,378.0,1383.0,5751.25,1171.5,1752.0,694.5,130.5,16.5,0.0
2005-05-08,50.4,1416.0,4763.4,1266.0,4182.0,963.6,450.0,351.6,14.4
2005-05-15,670.8,1671.6,5141.6,1238.4,2502.0,734.4,324.0,380.4,10.8
2005-05-22,177.6,1124.4,6064.2,1668.0,1447.2,867.6,114.0,165.6,14.4
2005-05-29,654.0,1299.0,5703.0,502.5,1716.0,1153.5,75.0,246.0,76.5
2005-06-05,1225.2,1861.2,7483.2,1124.4,1893.6,975.6,127.2,139.2,64.8
2005-06-12,399.0,997.5,5965.5,1248.0,1368.0,604.5,72.0,0.0,0.0
2005-06-19,326.4,603.6,6052.8,950.4,2048.4,736.8,172.8,124.8,0.0
2005-06-26,308.4,1333.2,4544.4,529.2,2716.8,411.6,175.2,266.4,16.8
2005-07-03,108.0,862.8,7620.0,1530.0,3184.8,212.4,127.2,176.4,0.0
2005-07-10,350.4,1486.8,5319.6,1162.8,2616.0,649.2,79.2,128.4,21.6
2005-07-17,417.6,1536.0,5179.2,1154.4,1286.4,925.2,144.0,116.4,0.0
2005-07-24,578.4,758.4,7381.2,960.0,1833.6,591.6,184.8,36.0,28.8
2005-07-31,560.4,405.6,4806.0,835.2,2338.8,714.0,297.6,86.4,0.0
2005-08-07,565.2,1095.6,4514.4,1042.8,2916.0,897.6,70.8,38.4,0.0
2005-08-14,523.2,974.4,5935.2,814.8,1738.8,427.2,28.8,246.0,46.8
2005-08-21,586.5,1479.0,4944.0,985.5,1002.0,697.5,201.0,198.0,27.0
2005-08-28,708.0,789.6,4636.8,663.6,2506.8,258.0,60.0,158.4,49.2
2005-09-04,243.6,1698.0,5774.4,1310.4,2991.6,889.2,250.8,384.0,81.6
2005-09-11,303.6,1018.8,8770.8,1299.6,2452.8,942.0,231.6,237.6,0.0
2005-09-18,414.0,801.6,6151.2,1730.4,2572.8,434.4,429.6,277.2,15.6
2005-09-25,968.4,2329.2,8982.0,1785.6,3535.2,1262.4,309.6,156.0,106.8
2005-10-02,178.8,1467.6,6410.4,1528.8,1454.4,308.4,399.6,51.6,9.6
2005-10-09,1350.0,2211.0,9823.5,2089.5,3168.0,1296.0,561.0,30.0,0.0
2005-10-16,526.8,1472.4,5365.2,1215.6,3274.8,1327.2,219.6,157.2,72.0
2005-10-23,339.6,1022.4,7610.4,1887.6,2154.0,1099.2,427.2,441.6,100.8
2005-10-30,438.0,810.0,6180.0,1086.0,3416.4,674.4,469.2,238.8,100.8
2005-11-06,121.5,733.75,6632.5,939.0,4204.5,655.75,256.5,507.0,12.0
2005-11-13,619.2,678.0,5846.4,974.4,1863.6,1070.4,234.0,172.8,0.0
2005-11-20,316.0,1451.0,5747.0,861.0,2313.0,870.0,185.0,256.0,243.0
