"""data""";"""TD125""";"""TD110""";"""TD90""";"""TD75""";"""TD63""";"""TD50""";"""TD40""";"""TD32"""
07/01/2018;1113.0;1143.75;3153.75;862.5;52.5;682.5;2079.0;1728.0
14/01/2018;1449.0;3582.0;3804.0;1914.0;78.0;2418.0;5779.2;3921.6
21/01/2018;1448.4;2520.0;3468.0;3213.0;498.0;1806.0;3078.0;950.4
28/01/2018;3389.4;8175.6;7064.4;4551.6;534.0;4688.4;6375.6;4036.8
04/02/2018;1326.0;2380.8;3943.8;2029.8;90.0;2188.8;2793.6;2192.4
11/02/2018;1460.4;2547.0;3549.0;2157.0;0.0;1926.0;2444.4;1846.8
18/02/2018;1087.8;2190.0;4359.0;1428.0;150.0;2730.0;5454.0;2138.4
25/02/2018;1418.4;2880.0;4962.0;1956.0;198.0;2556.0;3844.8;2173.2
04/03/2018;1749.6;2985.0;3159.0;1332.0;306.0;1056.0;2235.6;1609.2
11/03/2018;1142.4;4308.0;4857.0;2886.0;60.0;2772.0;4814.4;2648.4
18/03/2018;851.4;2461.2;3834.0;2292.0;96.0;1971.0;3135.6;1081.2
25/03/2018;1248.0;2112.0;3714.0;2052.0;234.0;1812.0;3318.6;1544.4
01/04/2018;1507.8;2520.0;3546.0;1842.0;60.0;1764.0;2757.6;1818.6
08/04/2018;1400.4;2320.8;3190.8;1588.8;270.0;1156.8;3292.8;1410.6
15/04/2018;1517.4;2139.0;2727.0;1440.0;240.0;2616.0;3045.6;2430.0
22/04/2018;1272.6;2535.0;4473.0;2652.0;0.0;1752.0;2937.6;1058.4
29/04/2018;916.2;1845.0;3003.0;1470.0;150.0;2166.0;3790.8;1533.6
06/05/2018;847.8;2376.0;2623.8;921.0;12.0;1242.0;2058.0;1351.2
13/05/2018;1360.2;2609.4;2511.6;1506.0;6.0;2394.0;3618.0;2062.8
20/05/2018;1730.4;2745.0;3852.0;1572.0;186.0;1398.0;4071.6;1868.4
27/05/2018;1233.0;2880.0;4359.0;1506.0;96.0;2844.0;3030.0;1838.4
03/06/2018;1624.8;1845.0;4047.0;3030.0;18.0;1980.0;3477.6;1335.6
10/06/2018;1696.2;3873.0;5097.0;1530.0;258.0;2598.0;4568.4;2084.4
17/06/2018;1496.4;2277.0;6126.0;2553.0;252.0;2520.0;3996.0;2188.8
24/06/2018;2912.4;4197.0;5364.0;1266.0;108.0;1446.0;3769.2;1957.2
01/07/2018;1902.0;3228.0;3867.0;3060.0;144.0;2484.0;4135.2;1782.0
08/07/2018;1369.8;2633.4;2364.0;1623.0;180.0;1878.0;2764.8;1069.2
15/07/2018;1440.6;2188.2;5359.2;1840.2;138.0;2782.2;2019.0;2224.8
22/07/2018;2134.2;2964.6;3972.6;2247.6;18.0;2214.6;3523.8;1194.0
29/07/2018;1528.2;3943.2;4431.6;3225.6;378.0;3184.2;4291.2;2905.2
05/08/2018;862.8;2166.0;4230.0;909.0;120.0;1329.0;2062.8;1405.2
12/08/2018;2239.8;3870.0;3303.0;3087.0;120.0;1014.0;5691.6;2559.6
02/09/2018;1413.6;1815.0;6627.0;1146.0;210.0;1854.0;1015.2;475.2
09/09/2018;260.4;1785.0;2628.0;1980.0;120.0;2580.0;2451.6;1587.6
16/09/2018;0.0;2202.0;2572.8;1605.0;72.0;1626.0;3077.4;2149.2
23/09/2018;2392.8;3225.0;4029.0;2214.0;240.0;2418.0;4574.4;2665.2
30/09/2018;1091.4;2619.0;3255.0;1992.0;66.0;1212.0;2394.0;2538.0
07/10/2018;795.0;3183.0;3711.0;1554.0;180.0;1548.0;2926.8;712.8
14/10/2018;1304.4;4657.2;5026.2;1113.0;60.0;2395.2;3934.8;2955.6
21/10/2018;2256.0;1707.0;2607.0;2877.0;468.0;2304.0;2257.2;1598.4
28/10/2018;2013.0;2649.0;3506.4;1594.2;312.0;2048.4;2968.8;2214.0
04/11/2018;1294.2;1989.0;2442.0;1731.0;60.0;1878.0;3304.8;1663.2
11/11/2018;1607.4;3777.0;4794.0;1491.0;162.0;2094.0;3423.6;2581.2
18/11/2018;1467.6;2184.0;4023.0;2496.0;384.0;3384.0;5778.0;2325.6
25/11/2018;1804.2;2491.2;3566.4;4010.4;90.0;2540.4;2225.4;2218.2
02/12/2018;822.6;2109.0;3318.0;1605.0;12.0;2028.0;2516.4;1513.2
09/12/2018;1375.8;3167.4;4297.2;1834.2;180.0;2962.2;4084.8;2013.0
16/12/2018;1300.8;2403.6;4263.6;1788.0;264.0;1965.6;2547.6;1587.6
23/12/2018;1131.6;1680.0;3372.0;1884.0;0.0;1071.0;2404.8;1555.2
06/01/2019;699.6;1440.0;2208.0;576.0;60.0;576.0;1706.4;734.4
13/01/2019;4434.0;7482.0;9972.0;7200.0;300.0;7044.0;10843.2;7214.4
20/01/2019;3394.8;8448.0;11994.0;7386.0;780.0;6528.0;8383.2;6124.8
27/01/2019;2688.0;4278.0;7992.0;3858.0;504.0;4656.0;10562.4;5076.0
03/02/2019;4272.0;8322.0;8430.0;5616.0;168.0;4632.0;4536.0;6139.2
10/02/2019;2319.6;5292.0;11334.0;4314.0;264.0;4176.0;5846.4;2952.0
17/02/2019;3932.4;6072.0;7878.0;6240.0;396.0;4914.0;9757.2;4298.4
24/02/2019;3378.0;5850.0;5958.0;2280.0;192.0;2988.0;6758.4;5203.2
03/03/2019;2701.2;3708.0;6918.0;3222.0;312.0;2628.0;4816.8;5400.0
10/03/2019;3012.0;5174.4;7058.4;4514.4;240.0;5492.4;6032.4;6266.4
17/03/2019;4720.8;8484.0;11640.0;6240.0;276.0;2784.0;9070.8;8574.0
24/03/2019;3355.2;5790.0;7128.0;3930.0;0.0;5484.0;4341.6;1792.8
31/03/2019;2679.6;5670.0;10206.0;4602.0;444.0;4464.0;9180.0;4838.4
07/04/2019;4033.2;8562.0;12985.2;7200.0;252.0;5166.0;10941.6;5625.6
14/04/2019;2091.6;4632.0;5238.0;4316.4;720.0;4848.0;7725.6;4977.6
21/04/2019;2293.2;7026.0;7710.0;4740.0;120.0;3012.0;7128.0;6674.4
28/04/2019;1051.2;3018.0;4080.0;1950.0;12.0;384.0;1555.2;1838.4
05/05/2019;3170.4;3630.0;5952.0;4176.0;0.0;5892.0;5184.0;453.6
12/05/2019;4664.4;8424.0;16200.0;5484.0;648.0;8220.0;12333.6;345.6
19/05/2019;6370.8;5559.6;9964.8;4884.0;156.0;7320.0;10588.8;0.0
26/05/2019;1818.0;135.0;6084.0;3120.0;180.0;3834.0;2131.2;1663.2
02/06/2019;1113.0;5445.0;3123.0;2061.0;24.0;1050.0;799.2;5302.8
09/06/2019;2587.8;5442.0;5607.0;3462.0;78.0;582.0;9836.4;4783.2
16/06/2019;1006.2;2211.0;4158.0;840.0;0.0;0.0;2937.6;0.0
23/06/2019;1267.2;2382.0;3096.0;2418.0;150.0;1332.0;3146.4;0.0
30/06/2019;1522.2;2604.0;2946.0;1584.0;84.0;5208.0;2890.8;3409.2
07/07/2019;1429.2;1872.0;3561.0;2034.0;384.0;3378.0;3337.2;2894.4
14/07/2019;744.0;2517.0;3318.0;1497.0;0.0;3348.0;3661.2;3693.6
21/07/2019;1280.4;1701.0;2802.0;1830.0;180.0;1134.0;1101.6;1339.2
28/07/2019;1487.4;2427.0;2847.0;2070.0;330.0;1422.0;2311.2;2192.4
04/08/2019;1081.8;3129.0;4815.0;2805.0;360.0;2319.0;4037.4;626.4
11/08/2019;1575.0;2586.0;5475.0;2526.0;390.0;72.0;4374.0;345.6
25/08/2019;572.4;855.0;828.0;930.0;0.0;0.0;561.6;1663.2
01/09/2019;578.4;1881.0;1509.0;936.0;120.0;270.0;2980.8;3013.2
08/09/2019;1189.8;2425.2;2523.0;1254.0;0.0;4152.0;3153.6;2505.6
15/09/2019;1952.4;3492.0;4803.0;1533.0;60.0;2346.0;1836.0;2030.4
22/09/2019;1987.8;2442.6;5154.0;2814.0;108.0;3396.0;4320.0;918.0
29/09/2019;1791.6;3573.0;5225.4;1874.4;60.0;2730.0;1026.0;313.2
06/10/2019;994.2;2433.0;3516.0;2382.0;84.0;282.0;4050.0;0.0
13/10/2019;1998.6;2946.0;4890.0;2445.0;372.0;324.0;5151.6;4492.8
